bin	uniqueBacSCGs	multipleBacSCGs	bacRatio	uniqueArcSCGs	multipleArcSCGs	arcRatio	size	nContigs	N50	score
metabat.8	51	0	1	12	1	0.315789473684211	2110148	24	144036	1
tetraESOM.83	51	0	1	12	0	0.315789473684211	2712894	44	90886	1
metabat.11	51	0	1	14	0	0.368421052631579	3295025	70	69995	1
concoct.17	51	0	1	12	0	0.315789473684211	2259436	57	65532	1
concoct.77	51	0	1	12	0	0.315789473684211	1909225	67	47497	1
maxbin2.032	51	0	1	13	0	0.342105263157895	2323359	107	33706	1
tetraESOM.26	50	0	0.980392156862745	11	0	0.289473684210526	1930369	26	125506	0.980392156862745
tetraESOM.5	50	0	0.980392156862745	14	2	0.368421052631579	1912208	33	104909	0.980392156862745
tetraESOM.17	50	0	0.980392156862745	11	0	0.289473684210526	2117566	36	102700	0.980392156862745
maxbin2.094	44	1	0.862745098039216	10	1	0.263157894736842	1747805	170	14347	0.809046345811052
maxbin2.017	41	0	0.803921568627451	8	0	0.210526315789474	2363932	47	155495	0.803921568627451
metabat.85	34	0	0.666666666666667	7	1	0.184210526315789	1947396	60	47599	0.666666666666667
